component,midx,N_fail,DT_total,DT_Cost_total,Scheduled,Operating,MTBF,Availability,Downtime_Rate,dt_cost_log
Body/Cabin,1,25,199.67,2660095.86,744.0,544.33,21.773200000000003,0.7316263440860216,0.2683736559139785,14.79387309362876
Body/Cabin,2,14,141.21,352412.43,672.0,530.79,37.91357142857142,0.7898660714285713,0.2101339285714286,12.772560282420146
Body/Cabin,3,5,75.7,16049.35,744.0,668.3,133.66,0.898252688172043,0.10174731182795699,9.683485935173978
Body/Cabin,4,3,42.07,9306.769999999999,720.0,677.93,225.97666666666666,0.9415694444444443,0.058430555555555555,9.138604814189943
Body/Cabin,5,9,150.94,42955.2,744.0,593.06,65.89555555555555,0.7971236559139784,0.2028763440860215,10.667936270894263
Body/Cabin,6,7,144.79,8785.84,720.0,575.21,82.17285714285715,0.7989027777777779,0.2010972222222222,9.08101042661264
Body/Cabin,7,7,118.55,8785.84,744.0,625.45,89.35000000000001,0.8406586021505377,0.15934139784946236,9.08101042661264
Body/Cabin,8,19,387.94,23847.28,744.0,356.06,18.74,0.4785752688172043,0.5214247311827956,10.079467376315483
Brake,1,25,410.68,2141672.88,744.0,333.32,13.332799999999999,0.44801075268817203,0.551989247311828,14.57709826816516
Brake,2,26,268.68,379753.14,672.0,403.32,15.512307692307692,0.6001785714285715,0.3998214285714286,12.847279322307745
Brake,3,36,520.03,453668.26,744.0,223.97000000000003,6.22138888888889,0.3010349462365592,0.6989650537634409,13.025123709334165
Brake,4,15,265.66,193345.37000000002,720.0,454.34,30.28933333333333,0.6310277777777777,0.36897222222222226,12.172238522615606
Brake,5,28,439.83,65142.85999999999,744.0,304.17,10.863214285714287,0.40883064516129036,0.5911693548387097,11.084353334059553
Brake,6,20,340.21,25102.399999999998,720.0,379.79,18.9895,0.5274861111111111,0.47251388888888884,10.130758574113576
Brake,7,20,313.9,25102.399999999998,744.0,430.1,21.505000000000003,0.5780913978494624,0.4219086021505376,10.130758574113576
Brake,8,22,448.15,27612.64,744.0,295.85,13.447727272727274,0.39764784946236564,0.6023521505376344,10.22606513252576
Driveline/Trans,1,35,205.85999999999999,4166071.7399999998,744.0,538.14,15.375428571428571,0.7233064516129032,0.27669354838709675,15.242484361044287
Driveline/Trans,2,8,114.42,660259.6699999999,672.0,557.58,69.6975,0.8297321428571429,0.17026785714285714,13.400389990574046
Driveline/Trans,3,19,282.09,365472.67,744.0,461.91,24.31105263157895,0.6208467741935484,0.37915322580645155,12.808949517273394
Driveline/Trans,4,11,178.1,107230.87,720.0,541.9,49.26363636363636,0.7526388888888889,0.24736111111111111,11.582748778211624
Driveline/Trans,5,19,260.68,52720.78,744.0,483.32,25.437894736842104,0.6496236559139785,0.35037634408602153,10.872783931884115
Driveline/Trans,6,5,72.42,6275.599999999999,720.0,647.58,129.51600000000002,0.8994166666666668,0.10058333333333333,8.74458371157777
Driveline/Trans,7,10,164.26,12551.199999999999,744.0,579.74,57.974000000000004,0.7792204301075268,0.2207795698924731,9.43765122800167
Driveline/Trans,8,10,183.84,12551.199999999999,744.0,560.16,56.016,0.7529032258064515,0.2470967741935484,9.43765122800167
Electrical/Lamp,1,38,416.74,1503993.28,744.0,327.26,8.612105263157895,0.4398655913978495,0.5601344086021506,14.2236349802932
Electrical/Lamp,2,30,573.56,721376.0499999999,672.0,98.44000000000005,3.281333333333335,0.1464880952380953,0.8535119047619046,13.488917233804413
Electrical/Lamp,3,27,458.72,440833.68,744.0,285.28,10.565925925925924,0.38344086021505375,0.6165591397849463,12.996425208862231
Electrical/Lamp,4,8,123.75,273583.43,720.0,596.25,74.53125,0.828125,0.171875,12.51936555521648
Electrical/Lamp,5,26,344.29,62632.619999999995,744.0,399.71,15.373461538461537,0.537244623655914,0.46275537634408603,11.045057473625581
Electrical/Lamp,6,15,315.9,18826.8,720.0,404.1,26.94,0.56125,0.43875,9.843089779987451
Electrical/Lamp,7,13,244.92,16316.559999999998,744.0,499.08000000000004,38.39076923076924,0.6708064516129033,0.32919354838709675,9.699997107536472
Electrical/Lamp,8,9,180.17000000000002,11296.079999999998,744.0,563.8299999999999,62.64777777777777,0.7578360215053762,0.24216397849462368,9.332299564227924
Engine/Fuel,1,49,439.67875,5756822.36,744.0,304.32125,6.2106377551020415,0.40903393817204303,0.590966061827957,15.565896380540012
Engine/Fuel,2,46,394.18,922839.86,672.0,277.82,6.039565217391305,0.413422619047619,0.586577380952381,13.735212082584967
Engine/Fuel,3,51,747.64,915585.58,744.0,1.0,0.0196078431372549,0.0013440860215053765,1.0048924731182796,13.72732020989765
Engine/Fuel,4,55,861.79,1292569.47,720.0,1.0,0.01818181818181818,0.001388888888888889,1.1969305555555556,14.072143406122152
Engine/Fuel,5,53,829.42,64861.73999999999,744.0,1.0,0.018867924528301886,0.0013440860215053765,1.1148118279569892,11.08002862380405
Engine/Fuel,6,50,774.59,62755.99999999999,720.0,1.0,0.02,0.001388888888888889,1.0758194444444444,11.04702540455723
Engine/Fuel,7,49,843.55,61500.88,744.0,1.0,0.02040816326530612,0.0013440860215053765,1.1338037634408602,11.026823022433074
Engine/Fuel,8,40,700.21,50204.799999999996,744.0,43.789999999999964,1.094749999999999,0.058857526881720384,0.9411424731182796,10.823885836854442
Hydraulic,1,4,73.38,17306.809999999998,744.0,670.62,167.655,0.9013709677419355,0.0986290322580645,9.7589131237019
Hydraulic,2,5,74.16,106965.17,672.0,597.84,119.56800000000001,0.8896428571428572,0.11035714285714285,11.580267895228033
Hydraulic,4,24,410.1,735298.55,720.0,309.9,12.9125,0.4304166666666666,0.5695833333333333,13.508033246189022
Hydraulic,5,2,32.08,2510.24,744.0,711.92,355.96,0.9568817204301074,0.04311827956989247,7.828531934040578
Hydraulic,6,26,402.9,32633.119999999995,720.0,317.1,12.196153846153846,0.4404166666666667,0.5595833333333333,10.39311364579079
Hydraulic,7,30,534.4399999999999,37653.6,744.0,209.56000000000006,6.985333333333335,0.28166666666666673,0.7183333333333333,10.53621040371977
Hydraulic,8,16,315.86,20081.92,744.0,428.14,26.75875,0.5754569892473118,0.4245430107526882,9.907624981560138
Other,1,6,79.07,909274.37,744.0,664.9300000000001,110.82166666666667,0.89372311827957,0.1062768817204301,13.720403264577108
Other,2,33,506.87,777552.3099999999,672.0,165.13,5.003939393939394,0.24572916666666667,0.7542708333333333,13.56390748660139
Other,3,46,738.95,821296.65,744.0,5.0499999999999545,0.10978260869565118,0.0067876344086020895,0.9932123655913979,13.618640868406766
Other,4,69,1171.34,893259.52,720.0,1.0,0.014492753623188406,0.001388888888888889,1.626861111111111,13.70263355303433
Other,5,47,642.03,118456.01999999999,744.0,101.97000000000003,2.169574468085107,0.13705645161290325,0.8629435483870967,11.682305473343675
Other,6,58,971.16,72796.95999999999,720.0,1.0,0.017241379310344827,0.001388888888888889,1.3488333333333333,11.195443211814132
Other,7,61,991.87,76562.31999999999,744.0,1.0,0.01639344262295082,0.0013440860215053765,1.3331586021505377,11.245873389867912
Other,8,76,1602.67,95389.12,744.0,1.0,0.013157894736842105,0.0013440860215053765,2.1541263440860217,11.465730288131963
Steering,1,21,110.85,533009.57,744.0,633.15,30.15,0.851008064516129,0.14899193548387096,13.186296534095812
Steering,2,12,183.66,138511.09,672.0,488.34000000000003,40.695,0.7266964285714286,0.2733035714285714,11.838712893218542
Steering,3,16,246.82999999999998,437804.23000000004,744.0,497.17,31.073125,0.6682392473118279,0.331760752688172,12.989529410093652
Steering,4,6,124.77,56070.92,720.0,595.23,99.205,0.8267083333333334,0.17329166666666665,10.93439043144209
Steering,5,11,185.12,45465.439999999995,744.0,558.88,50.807272727272725,0.7511827956989248,0.24881720430107526,10.724729750373719
Steering,6,7,129.13,8785.84,720.0,590.87,84.41,0.8206527777777778,0.1793472222222222,9.08101042661264
Steering,7,5,101.03,6275.599999999999,744.0,642.97,128.594,0.8642069892473119,0.13579301075268818,8.74458371157777
Steering,8,4,68.0,5020.48,744.0,676.0,169.0,0.9086021505376344,0.0913978494623656,8.52147998995182
Suspension,2,20,238.04,559416.86,672.0,433.96000000000004,21.698,0.6457738095238096,0.3542261904761905,13.234651986305051
Suspension,3,14,213.53,205805.05,744.0,530.47,37.89071428571429,0.712997311827957,0.287002688172043,12.234689499423263
Suspension,4,10,147.74,55907.32,720.0,572.26,57.226,0.7948055555555555,0.20519444444444446,10.931468485277334
Suspension,5,16,195.84,20081.92,744.0,548.16,34.26,0.736774193548387,0.2632258064516129,9.907624981560138
Suspension,6,8,133.5,10040.96,720.0,586.5,73.3125,0.8145833333333333,0.18541666666666667,9.214527593316452
Suspension,7,6,86.08,7530.719999999999,744.0,657.92,109.65333333333332,0.8843010752688172,0.11569892473118279,8.926878714364856
Suspension,8,4,68.83,5020.48,744.0,675.17,168.7925,0.9074865591397849,0.09251344086021505,8.52147998995182
Tire/Wheel,1,12,286.29,233770.93,744.0,457.71,38.1425,0.6152016129032257,0.3847983870967742,12.362101260932102
Tire/Wheel,2,21,501.58,89620.87,672.0,170.42000000000002,8.115238095238096,0.2536011904761905,0.7463988095238095,11.403354654000596
Tire/Wheel,3,3,29.59,8088.89,744.0,714.41,238.13666666666666,0.9602284946236559,0.039771505376344087,8.998370412926722
Tire/Wheel,4,8,105.08,18138.99,720.0,614.92,76.865,0.8540555555555555,0.14594444444444443,9.80587417240106
Tire/Wheel,5,6,82.12,7530.719999999999,744.0,661.88,110.31333333333333,0.8896236559139785,0.11037634408602151,8.926878714364856
Tire/Wheel,6,13,265.81,16316.559999999998,720.0,454.19,34.93769230769231,0.6308194444444445,0.36918055555555557,9.699997107536472
Tire/Wheel,7,16,279.95,20081.92,744.0,464.05,29.003125,0.6237231182795699,0.3762768817204301,9.907624981560138
Tire/Wheel,8,17,315.43,21337.039999999997,744.0,428.57,25.21,0.5760349462365592,0.42396505376344085,9.968246674339582
